Question,Answer
"Are baseline requirements to secure different applications established, documented,
and maintained?
","The functional baseline configurations are reviewed at least annually, when directed by an authoritative outside source, upon significant security changes, or when business requirements change.
Configuration control is enforced on all systems in accordance with the current version of the Change Management Policy and supporting documentation.
IBM Cloud provides detailed guidance on secure engineering practices and secure coding practices that IBM Cloud service teams adhere to, which is verified during IBM Cloud security reviews.
Product and service offerings that are in scope of this program define the baseline installation and configuration before going to market.  An extensive process is required where the organization documents the application/system, does a threat model and provides evidence that the baseline meets all requirements, standards, applicable regulations, and contractual obligations."
"Are technical and operational metrics defined and implemented according to
business objectives, security requirements, and compliance obligations?
","IBM maintains corporate policies and standards which support data and system security, privacy, confidentiality, integrity and availability.  

Each IBM service implements standard controls and processes in compliance with IBM’s corporate policies, and is subject to accredited third-party validation against standards, such as ISO 27001, ISO 27017, ISO 27018, ISO 27701, SSAE SOC 2, FedRAMP, HIPAA, and PCI-DSS, to the extent stated in the relevant service description.

Compliance with legal, regulatory and contractual obligations is mandatory for all IBM services and checks for adherence to such obligations are performed regularly. Revisions to the associated policies, controls, and terms are incorporated as required and appropriate."
"Is an SDLC process defined and implemented for application design, development,
deployment, and operation per organizationally designed security requirements?
","IBM Cloud services must comply with a set of security requirements across the development lifecycle including, but not limited to,  static code scanning, dynamic scanning of apis and UIs, build dependency checking and enrolment with IBM PSIRT to receive notification on all relevant vulnerabilities.

IBM maintains standard procedures and implementation guidelines to verify the proper implementation of controls throughout its design, development, and operational lifecycles, including secure engineering and privacy by design guidelines and standards, secure deployment checklists, and adherence to the IBM Privacy by Design Framework.  Industry standard processes such as ISO/IEC 27001-2013 Annex A.14.2.1, NIST SP 800-53 SA-3 and SA-5 are adhered to.

The use of technical measures such as input sanitization, output validation, encryption in transit and at rest, checksums, hashes and other integrity checks, coupled with business continuity measures and extensive logging and monitoring, are designed, implemented, and maintained to protect against systemic processing errors, data loss or corruption, and misuse of information.

In addition to ensuring a consistently high level of security for IBM services, such reviews, monitoring, and testing, configuration and identify management, and internal and external audits, provide regular confirmation of IBM’s adherence to its legal obligations and stated technical and organizational security and privacy measures.

See also AIS-03.1 above."
"Does the testing strategy outline criteria to accept new information systems,
upgrades, and new versions while ensuring application security, compliance adherence,
and organizational speed of delivery goals?
","System acceptance testing includes testing of information security requirements and adherence to secure system development practices, is conducted on received components and integrated systems, leverages tools, such as code analysis tools or vulnerability scanners, and verifies the remediation of security-related defects, and is performed in a realistic test environment to ensure that the system will not introduce vulnerabilities to the organization's environment and that the tests are reliable.

Testing methods used include as appropriate and relevant: static and dynamic code/function analysis, simulations, interactive analysis checks, white, gray, and black box testing, fuzz testing, and penetration testing.  Methodology includes fully automated and manual tests.

IBM has implemented a broad-based Supplier Security Risk Management (SSRM) program that includes acceptance criteria for products acquired from, and services that are outsourced to, any 3rd parties."
"Is testing automated when applicable and possible?
",See AIS-05.1
"Are strategies and capabilities established and implemented to deploy application
code in a secure, standardized, and compliant manner?
","All product and service offerings that are in scope of this program use automated delivery 'pipeline' processes (such as Travis or equiv.) and encorporate appropriate acceptance/security testing, review, and approval. Static and dynamic code  scans are run against all source code pre-deployment and automatically block deployment in case of security issues. Peer reviews  are performed to approve release of any security related code. All services are required to use automated scanners to detect injection vulnerabilities prior to each release. 

See AIS-05.1."
"Is the deployment and integration of application code automated where possible?
",See AIS-05.1 and AIS-06.1 
"Are application security vulnerabilities remediated following defined processes?
","Before deployment into production, all product offerings within scope of the ISMS/PIMS remediate security and privacy vulnerabilities as per IBM's standard secure deployment policy."
"Is the remediation of application security vulnerabilities automated when
possible?
","When security and privacy vulnerabilities are identified in the release testing with remediation steps, and after review of impacts, and where/when possible, upgrades to newer dependencies and libraries are automatically done.  It is important that a human makes the decision on how, what and when to do this to reduce the likelihood of the automated processes including other vulnerabilities or reliability issues."
"Are business continuity management and operational resilience policies and
procedures established, documented, approved, communicated, applied, evaluated,
and maintained?
","IBM Public Cloud has Contingency Planning governance via a dedicated Business Continuity Management System that includes a dedicated weekly workgroup with coordination of the plan(s) development, with all the elements of the organization and ensure linkage with the wider BM Company overall program and compliance to the corresponding Policies and Standards. The contingency planning process includes resumption of critical business functions according to specific timelines as identified during the BIA (BPCI). The contingency planning process includes identification of Critical information system assets supporting critical missions and Business functions. 

IBM Public Cloud Contingency Planning governance includes: 
1. Identification of essential missions and business functions and  associated contingency requirements.
2. identification of recovery objectives (MAO/MTD, RTO and RPO). 
3. Contingency roles, responsibilities with assigned individuals and related contact information.
4. Maintaining essential missions and business functions.
5. system restoration without deterioration of the security safeguards.  
6. Review and approval by senior contingency personnel specifically appointed to oversee contingency governance with planning, reviews/updates,  activities, executive status reporting execution of periodic testing.  

During the information systems contingency plan testing, all the organizational elements responsible of related plans are involved during either test planning, test execution, test reporting and/or remediation of the related identified issues.
IBM cloud has Business Continuity and Disaster Recovery plans which are reviewed at least annually and testing that occurs at least annually.

All critical  dependencies – stakeholders (interested parties), site, resources, IT, suppliers, partners, non-IT services and process interdependencies - are identified during BC planning. This identification, valid for both primary and alternate facilities,  includes verification that the recovery time objective of the full stack is aligned with the internal recovery objectives.  

Recovery / Alternate Site / Offsite Location Requirements are documented in the standard for contingency planning of the  information system related to the identification of alternate storage sites which include specific requirements such as overall analysis of risks, distance and same resiliency level.
All alternate storage sites have high resiliency for power site access,  Communications and network connectivity. Additionally, according to the IBM Standard the alternate storage sites must be outside of the same risk area of the primary facility.  

SOC2 audits test Business continuity plans and Disaster Recovery processes. IBM Cloud platform provides relevant third party audit certification reports, including SOC2 reports, where a Non Disclosure Agreement (NDA) is in place.

Cloud is a shared responsibility model. IBM Cloud is responsible for Disaster Recovery for the portions of IBM Cloud it manages. Customers are responsible for Disaster Recovery for services they deploy on IBM Cloud. IBM Cloud services provides Customers with all the capabilities to build for Disaster recovery at a regional and cross regional level. See this link for an description of IBM Kubernetes service capabilities and Customer responsibilities: https://cloud.ibm.com/docs/containers?topic=containers-ha
"
"Are the policies and procedures reviewed and updated at least annually?
","Annual BC/DR testing is required, along with policy/procedure reviews and updates (where appropriate). 

In additon, see BCR-01.1 above."
"Are criteria for developing business continuity and operational resiliency
strategies and capabilities established based on business disruption and risk
impacts?
","Business continuity plans define roles and responsibilities and detailed procedures for recovery per defined Recovery Time Objectives (RTO) and Recovery Point Objectives (RPO). 

Plans are reviewed and tested at least annually, using testing exercises that follow industry standard practices, to assess their effectiveness in an adverse situation.  Appropriate stakeholders are involved in testing. Plans are updated as appropriate in support of continuous improvement using test output, findings, and lessons learned.

Test results are reviewed, and corrective actions are taken as appropriate, and plans and processes are updated according to lessons learned.

"
"Are strategies developed to reduce the impact of, withstand, and recover from
business disruptions in accordance with risk appetite?
",All product and service offerings within scope are required to develop and document detailed implementation plans according to the criticality and risk established.  These plans are subject to review and audit on an annual basis.  Testing of the BC/DR plans is required on an annual basis as well and the results of such tests are reviewed and approved by management.  Any deficiencies found must be remediated on a priority basis.
"Are operational resilience strategies and capability results incorporated
to establish, document, approve, communicate, apply, evaluate, and maintain a
business continuity plan?
","All IBM Cloud service must maintain administrative documentation and architecture/network diagrams which are reviewed on at least an annual basis. Documents for each IBM Cloud service are maintained in the GitHub repository managed by that IBM Cloud service and with appropriate role-based access controls. 

The IBM Cloud Business Continuity policy requires:  

a. Testing of the contingency plan for the information system when the services become first available and then annually thereafter. 
b. Reviews of the contingency plan test results.
c. Initiate corrective actions, if needed.

During the information systems  contingency plan testing,  all the organizational elements responsible for related plans are involved during either test planning, test execution, test reporting and/or remediation of the related identified issues.  

"
"Is relevant documentation developed, identified, and acquired to support business
continuity and operational resilience plans?
","Policies, procedures and other documentation needed to install, configure and operate the IBM service, including all security features (e.g. encryption, firewalls, identity and access management, intrusion detections and prevention, and monitoring), are disseminated to IBM personnel who have access, on a need to know basis, to the offering information systems.

All documents are located in the IBM service documentation repository and are only available to authorized personnel using role-based access. This documents are updated at least annually, or when there is a significant change in the environment, by the Compliance team with assistance from relevant groups. 

All policies, processes, and/or procedures are consistent with the requirements of applicable laws and regulations; corporate directives, policies, adopted standards; and contractual agreements."
"Is business continuity and operational resilience documentation available
to authorized stakeholders?
",See BCR-04.1 and BCR-05.1 responses.
"Is business continuity and operational resilience documentation reviewed periodically?
",See BCR-04.1 and BCR-05.1 responses.
"Are the business continuity and operational resilience plans exercised and
tested at least annually and when significant changes occur?
","See BCR-01.1, BCR-04.1 and BCR-05.1 responses."
"Do business continuity and resilience procedures establish communication with
stakeholders and participants?
",See BCR-04.1 and BCR-05.1 responses.
"Is cloud data periodically backed up?
","As documented in each IBM service description and data processing agreement, backup, restoration and recovery measures are determined and maintained as a part of each IBM service’s Business Continuity and Disaster Recovery plan and tested along with all other aspects of the associated plans.  All such Business Continuity plans are fully documented, reviewed by both the IBM service offering and responsible executives, and are tested at least annually.  
Cloud is a shared responsibility model. IBM Cloud is responsible for Disaster Recovery for the portions of IBM Cloud it manages. Customers are responsible for Disaster Recovery for services they deploy on IBM Cloud. IBM Cloud services provides Customers with all the capabilities to build for Disaster recovery including restoration of Virtual machines to previous images.

"
"Is the confidentiality, integrity, and availability of backup data ensured?
","The majority of the program's product and service offerings use redundant 'active-active failover' architecture and configurations, and as a result, the CIA on the backup/redundant infrastructure has the same protections as the original data.

All data is encrypted and protected to at least the level of the active data in offerings that must rely on backup/restore processes. 

Policies are established to help maintain the continuity and availability of operations and support personnel, including redundant links, replication, and automatic failover, to ensure hardware maintenance activities are transparent to IBM service subscribers and end users. 

Contingency Planning Policies are managed and coordinated centrally at the wider IBM Corporate Level and are reviewed on a least an annual basis for compliance with regulatory, statutory, contractual, or business requirements.
"
"Can backups be restored appropriately for resiliency?
","IBM follows Public Cloud Contingency Planning governance in order to appropriately restore backup data: 
1. Identification of essential missions and business functions and  associated contingency requirements.

2. identification of recovery objectives (MAO/MTD, RTO and RPO). 

3. Contingency roles, responsibilities with assigned individuals and related contact information.

4. Maintaining essential missions and business functions.

5. system restoration without deterioration of the security safeguards. 

6. Review and approval by senior contingency personnel specifically appointed to oversee contingency governance with planning, reviews/updates,  activities, executive status reporting execution of periodic testing.
"
"Is a disaster response plan established, documented, approved, applied, evaluated,
and maintained to ensure recovery from natural and man-made disasters?
","The physical and environmental protection policy is part of an enterprise-wide implementation of approved operating policies and is consistent with other corporate policies, which cover Fire, Windstorm, Flood, Earthquake, Collapse, and other requirements.  This policy describes how physical and environmental protection controls are implemented within IBM Cloud facilities.  It defines roles, responsibilities, management commitment, purpose, and scope.  This documentation is updated at least annually, or when there is a significant change in the environment, by the Compliance team with assistance from relevant groups.

Fire detection and suppression systems including dry pipe pre-action systems, fire extinguishers, and smoke/fire alarms are installed at all locations.  In the event of a power outage, UPS or generator power provides the energy required to activate and initiate these systems.

IBM Cloud measures temperatures at the server row.  Alerts are sent to a data centre operations distribution list when temperatures fall outside of established parameters.  Sub-service providers utilize the Building Management System (BMS) which continually monitors the environmental status in the facility.  Temperature and humidity settings are monitored to ensure that they remain within acceptable levels.  The sub-service provider reports temperature at the rack intake and humidity levels in percentages and by dew points.

The Building Management System continually monitors all environmental statuses, including temperature and humidity.  The BMS alerts and alarms to the facility engineer in the case of a reading outside the acceptable threshold

Water shutoff valves are employed as part of the fire suppression system.  Further protections include dry-pipe systems and ensuring that all plumbing in the building is diverted away from data centre facilities.  

Data centre operations personnel also have tools to divert any leaks that should arise despite these controls in place and conduct three walkthroughs per shift as an overall strategy for identifying any issues with environmental controls."
"Is the disaster response plan updated at least annually, and when significant
changes occur?
","IBM conducts annual tests of business continuity plans to replicate disaster scenarios that reflect catastrophic occurrences that could impair IBM Cloud operations.
As part of this yearly evaluation, BC/DR playbooks are also reviewed, evaluated and refined.


"
"Is the disaster response plan exercised annually or when significant changes
occur?
",See BCR-01.2 response.
"Are local emergency authorities included, if possible, in the exercise?
","Coordination with local authorities, including electricity, communications, fire, medical, and other emergency services, is essential for success in the case of a natural disaster or other calamity.

IBM takes this matter extremely seriously and ensures proper collaboration. "
"Is business-critical equipment supplemented with redundant equipment independently
located at a reasonable minimum distance in accordance with applicable industry
standards?
","All critical dependencies – stakeholders (interested parties), site, resources, IT, suppliers, partners, non-IT services and process interdependencies - are identified during BC planning. This identification, valid for both primary and alternate facilities, includes verification that the recovery time objective of the full stack is aligned with the internal recovery objectives. 

To meet or exceed industry standards, the physical location of redundant equipment and facilities is always examined based on several parameters, including geographic distance, service providers such as energy and communications, weather patterns, legal/governmental jurisdiction, etc. 
"
"Are risk management policies and procedures associated with changing organizational
assets including applications, systems, infrastructure, configuration, etc., established,
documented, approved, communicated, applied, evaluated and maintained (regardless
of whether asset management is internal or external)?
","The Information Security Management System (ISMS) for IBM services has comprehensive controls used to validate that IBM services have policies, processes and implementing procedures in place and executed concerning the development or acquisition of all components of IBM services, including operations and actions.

The appropriate level of management pre-approves the development and acquisition of new data, physical and virtual applications, infrastructure network, and systems components, corporate, operations, and data centre facilities.

IBM Cloud has lists of IBM Approved software that all IBM Cloud services must utilize.

The proper level of management must approve the development and acquisition of new data, physical and virtual applications, infrastructure, networks, system components, corporate activities, and data center facilities.

The majority of IBM's service documentation is available at https://www.ibm.com/support/knowledgecenter/en. "
"Are the policies and procedures reviewed and updated at least annually?
","At least annually, every policy, process, and procedure is evaluated.

In accordance with the change controls, management review and approval are required when required. "
"Is a defined quality change control, approval and testing process (with established
baselines, testing, and release standards) followed?
","IBM secure engineering and privacy by design standards and guidelines dictate multiple testing/scanning techniques be used before the promotion of code into production.  These include manual code reviews, threat modeling, static and dynamic scans, penetration tests, and other techniques.  The change request process provides a high level of control for all software development activities. Acceptance testing, establishing a baseline for the product or service is an integral part of the secure release process.                                                   See: https://www.ibm.com/security/secure-engineering/

The IBM services ISMS/PIMS has controls, implemented by the IBM services, to help maintain consistency in operations up and down the supply chain, whether that is external (3rd party) or internal.  IBM requires external business partners involved in development or maintenance of an IBM service, if any, to adhere to same policies and procedures for change management, secure release, and testing as internal personnel.
                                                    "
"Are risks associated with changing organizational assets (including applications,
systems, infrastructure, configuration, etc.) managed, regardless of whether asset
management occurs internally or externally (i.e., outsourced)?
","All product and service offerings follow strict change management procedures that require a work ticket to request the change, documenting the timeframe, the changes themselves, the back-out plan, the risks of both implementing the change and the risks associated with NOT doing the change, and any other relevant details. 

Prior review and approval by management is required before the change is implemented, and the results/status of the change and any other actions documented before the work ticket is closed. Emergency changes are required to be documented similarly with the exception that the management review and approvals follow the implementation, but those still require verbal (or other means of) approval before implementation.

The above process with roles and responsibilities is documented in the internal change management policies, processes, and procedures for each offering and reviewed (with examples of such change tickets) as part of the overall ISMS/PIMS program.

                                                                                                                                              "
"Is the unauthorized addition, removal, update, and management of organization
assets restricted?
","IBM Cloud has lists of IBM Approved Software; compliance is checked via automated inventory and internal audits.

IBM Cloud platform has a Change Control process to manage and track changes to any portion of the system, regardless of its maturity level (Experimental, Beta or GA). The change control process requires multiple levels of review approval including component owners and management. "
"Are provisions to limit changes that directly impact CSC-owned environments
and require tenants to authorize requests explicitly included within the service
level agreements (SLAs) between CSPs and CSCs?
","These provisions are outlined in (Section 3) of the IBM Cloud Service Agreement document, which is included in standard contractual agreements. 
                                                                                                                                                                                                                                                                                                                                                See: https://www.ibm.com/support/customer/csol/terms?id=Z126-6304_WS&cc=us&lc=en#detail-document"
"Are change management baselines established for all relevant authorized changes
on organizational assets?
","Change management baselines are outlined in the Change Management Policy document, and all IBM services adhere to them in order to effect changes as efficiently as possible while reducing business impact, cost, and risks.                                                                                                                              "
"Are detection measures implemented with proactive notification if changes
deviate from established baselines?
","IBM requires instances of non-compliance should be recorded by operational units.
Systemic deviations must be brought to the attention of the IBM CISO by the Business Information Security Officer (BISO) of the operating unit.
To be clear, no deviation, whether systematic or otherwise, are authorized from IBM's legal commitments.
                                                                                                                                             Deviations from baselines are identified, tracked, and remediated on all real and virtualized devices as enshrined in IBM service process and procedure, and subscription to security alerts and notices is used where detection measures cannot be implemented.                      
"
"Is a procedure implemented to manage exceptions, including emergencies, in
the change and configuration process?
","To improve operational effectiveness and visibility and transparency of changes made to the IBM cloud ecosystem, ALL IBM services adhere to a standardized change management process that includes, and is not limited to, Exception Review, Emergency Change Requests, and Disruptive Change Requests.

"
"'Is the procedure aligned with the requirements of the GRC-04: Policy Exception
Process?'
",IBM has a comprehensive Corporate Directive Deviation process where any exception or deviation from the mandated information security and privacy requirements is documented with required plans and schedule for remediation.
"Is a process to proactively roll back changes to a previously known ""good
state"" defined and implemented in case of errors or security concerns?
","Prior to implementation, changes to a IBM service, including its systems, networks and underlying components, are documented in a registered change request that includes a description and reason for the change, implementation details and schedule, a risk statement addressing impact to the IBM service and its clients, expected outcome, rollback plan, and documented approval by authorized personnel.

The Change Management process includes the requirement for a roll back plan in all cases.  IBM Public Cloud has test environments, such as test.cloud.ibm.com, where changes are tested prior to deployment in production.  Details of test plans are also included in Change Management requests as part of the approval process.

Details of any changes that may impact availability will be notified to customers in advance via the IBM Cloud public status page: https://cloud.ibm.com/status

"
"Are cryptography, encryption, and key management policies and procedures established,
documented, approved, communicated, applied, evaluated, and maintained?
","IBM policies provide requirements and implementation guidelines covering the complete lifecycle and management of cryptographic keys and for the use of encryption protocols for the protection of sensitive data at rest, data in use, and data in transit per applicable legal, statutory, regulatory, and contractual obligations.  These policies are reviewed, updated and approved by management on a regular basis. The IBM services ISMS/PIMS has controls that enforce those policies and directives.  Assessments and audits are conducted appropriately to help ensure compliance at least annually.

Each IBM service encrypts data as and to the extent provided in the relevant service description available to all current and potential customers.  Each IBM service considers, implements for legal, regulatory,and contractual requirements. 
To determine whether customer provided keys are allowed, consult the relevant documents and service descriptions at: 
•	  IBM Data Security and Privacy Principles - https://www.ibm.com/support/customer/csol/terms?id=Z126-7745
•	  And the specific service description and linked data processing agreement exhibit - https://www.ibm.com/software/reports/compatibility/clarity/softwareReqsForProduct.html"
"Are cryptography, encryption, and key management policies and procedures reviewed
and updated at least annually?
","All policies, processes, and procedures are reviewed at least annually.  As appropriate, management review and approval are required and that is captured in the document change controls."
"Are cryptography, encryption, and key management roles and responsibilities
defined and implemented?
","IBM’s encryption and encryption key management policies include requirements concerning the roles and responsibilities including that all encryption keys have an owner or responsible person.  A custodian for customer provided keys is required. Offering-specific documentation specifies the roles and access permissions to keys.
IBM maintains formal policy requirements and implementation guidelines for the use of encryption to protect information in transit and at rest.  This includes the storage, deployment and use of encryption keys. Separation of duties is enforced within the IBM Cloud User Access Management tools. Role based access control is enforced and duties are separated within the engineering/operations teams. "
"Are data at-rest and in-transit cryptographically protected using cryptographic
libraries certified to approved standards?
","IBM Cloud encrypts all data in transit across public networks using secure protocols, strong ciphers and key strengths, and uses reputable certificate authorities’ certificates to verify the identity of servers. 

Certificates and keys for IBM Cloud portal and IBM Cloud services are managed in IBM Cloud Secrets Manager which manages the lifecycle and provides alerts for certificates nearing expiry to avoid outages. Secrets Manager is integrated with IBM Cloud Container Service, and provides APIs to retrieve certificates for other targets.

Asymmetric keys are required to be a minimum of 2048-bit keys for RSA or 224 bit keys for ECDSA; guidance is obtained from NIST 800-131A.  

Only TLS versions 1.2 or 1.3 are permitted. IBM enforces only strong cipher suites with PFS.

Encryption keys are managed in IBM Cloud Key Protect which provides mandatory control of user access requests to encryption keys and manages the entire lifecycle of keys from creation through application, key archival, and key destruction. It stores those keys in a FIPS 140-2 Level 3 certified cloud-based hardware security module (HSM).

IBM Cloud Key Protect is used to produce, control, and distribute symmetric AES-256 keys and is backed by a FIPS 140-2 Level 2 or higher Hardware Security Module.
IBM Cloud internally uses encryption of data at rest at both the disk level (storage units, workstations, mobile devices) as well as at the volume level. 

IBM Cloud provide BYOK/KYOK functionality for customers to manage their own encryption keys.  This provides the Customer with the  capability to have unique encryption keys and KeyProtect provides management of those keys.
https://www.ibm.com/cloud/key-protect

Customer data is encrypted at rest using technologies such as bring-your-own-key or keep-your-own-key that allow customer control over encryption keys.  Metadata (for example, related to billing) is encrypted at rest using IBM Cloud managed keys.  IBM approved implementations of AES-256 CBC/GCM are used for encryption at rest."
"Are appropriate data protection encryption algorithms used that consider data
classification, associated risks, and encryption technology usability?
",See CEK-03.1. All data is protected to the same high standard regardless of the classification.
"Are standard change management procedures established to review, approve,
implement and communicate cryptography, encryption, and key management technology
changes that accommodate internal and external sources?
","IBM maintains formal change management policy and supporting documentation for the use of encryption to protect information in transit, at rest and key management including internal and external sources. Security reviews, vulnerability management, security tooling and standard change management processes are used to ensure encryption standards meet an acceptable level and are communicated accordingly. "
"Are changes to cryptography-, encryption- and key management-related systems,
policies, and procedures, managed and adopted in a manner that fully accounts
for downstream effects of proposed changes, including residual risk, cost, and
benefits analysis?
","IBM performs cost benefit analysis with combination of;
- change and risk management processes,
- monitoring on changes to cryptography, encryption, the key management system,
- policies and procedures. 

Changes must be justified and approved prior to implementation. If a change is identified due to a potential risk associated with a vulnerability, a risk analysis would be accounted for with combination of change and risk management processes to determine the necessary actions in the key management process.

The change management process includes provisions for feedback and lessons learnt."
"Is a cryptography, encryption, and key management risk program established
and maintained that includes risk assessment, risk treatment, risk context, monitoring,
and feedback provisions?
",See CEK-06.1
"Are CSPs providing CSCs with the capacity to manage their own data encryption
keys?
","IBM Cloud provides Bring Your Own Key (BYOK) and Keep Your Own Key (KYOK) functionality for customers to manage their own encryption keys. This provides the Customer with the capability to have unique encryption keys and KeyProtect provides management of those keys.
https://www.ibm.com/cloud/key-protect
"
"Are encryption and key management systems, policies, and processes audited
with a frequency proportional to the system's risk exposure, and after any security
event?
",See CEK-01.1
"Are encryption and key management systems, policies, and processes audited
(preferably continuously but at least annually)?
",See CEK-01.1
"Are cryptographic keys generated using industry-accepted and approved cryptographic
libraries that specify algorithm strength and random number generator specifications?
","See CEK-03.1
"
"Are private keys provisioned for a unique purpose managed, and is cryptography
secret?
",See CEK-03.1
"Are cryptographic keys rotated based on a cryptoperiod calculated while considering
information disclosure risks and legal and regulatory requirements?
",See CEK-01.1
"Are cryptographic keys revoked and removed before the end of the established
cryptoperiod (when a key is compromised, or an entity is no longer part of the
organization) per defined, implemented, and evaluated processes, procedures, and
technical measures to include legal and regulatory requirement provisions?
",See CEK-01.1 IBM policies and procedures have specific requirements on this topic and are dependent on regulatory requirements. Audits and assessments that include controls for keys are tested to ensure their completeness against the requirements.
"Are processes, procedures and technical measures to destroy unneeded keys
defined, implemented and evaluated to address key destruction outside secure environments,
revocation of keys stored in hardware security modules (HSMs), and include applicable
legal and regulatory requirement provisions?
",See CEK-01.1 IBM policies and procedures have specific requirements on this topic and are dependent on regulatory requirements. Audits and assessments that include controls for keys are tested on to ensure their completeness against the requirements.
"Are processes, procedures, and technical measures to create keys in a pre-activated
state (i.e., when they have been generated but not authorized for use) being defined,
implemented, and evaluated to include legal and regulatory requirement provisions?
",See CEK-01.1 IBM policies and procedures have specific requirements on this topic and are dependent on regulatory requirements. Audits and assessments that include controls for keys are tested on to ensure their completeness against the requirements.
"Are processes, procedures, and technical measures to monitor, review and approve
key transitions (e.g., from any state to/from suspension) being defined, implemented,
and evaluated to include legal and regulatory requirement provisions?
",See CEK-01.1 IBM policies and procedures have specific requirements on this topic and are dependent on regulatory requirements. Audits and assessments that include controls for keys are tested on to ensure their completeness against the requirements.
"Are processes, procedures, and technical measures to deactivate keys (at the
time of their expiration date) being defined, implemented, and evaluated to include
legal and regulatory requirement provisions?
",See CEK-01.1 IBM policies and procedures have specific requirements on this topic and are dependent on regulatory requirements. Audits and assessments that include controls for keys are tested on to ensure their completeness against the requirements.
"Are processes, procedures, and technical measures to manage archived keys
in a secure repository (requiring least privilege access) being defined, implemented,
and evaluated to include legal and regulatory requirement provisions?
",See CEK-01.1 IBM policies and procedures have specific requirements on this topic and are dependent on regulatory requirements. Audits and assessments that include controls for keys are tested on to ensure their completeness against the requirements.
"Are processes, procedures, and technical measures to encrypt information in
specific scenarios (e.g., only in controlled circumstances and thereafter only
for data decryption and never for encryption) being defined, implemented, and
evaluated to include legal and regulatory requirement provisions?
",See CEK-01.1 IBM policies and procedures have specific requirements on this topic and are dependent on regulatory requirements. Audits and assessments that include controls for keys are tested on to ensure their completeness against the requirements.
"Are processes, procedures, and technical measures to assess operational continuity
risks (versus the risk of losing control of keying material and exposing protected
data) being defined, implemented, and evaluated to include legal and regulatory
requirement provisions?
",See CEK-01.1 IBM policies and procedures have specific requirements on this topic and are dependent on regulatory requirements. Audits and assessments that include controls for keys are tested on to ensure their completeness against the requirements.
"Are key management system processes, procedures, and technical measures being
defined, implemented, and evaluated to track and report all cryptographic materials
and status changes that include legal and regulatory requirements provisions?
",See CEK-01.1 IBM policies and procedures have specific requirements on this topic and are dependent on regulatory requirements. Audits and assessments that include controls for keys are tested on to ensure their completeness against the requirements.
